TraitID,TraitName,TOP ID
900,,
1912,,
1911,,
901,,
902,,
1910,,
1917,,
1919,,
1909,,
1913,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,,
943,,
944,,
945,,
946,,
947,,
948,,
949,,
950,,
951,,
952,,
953,,
954,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
2880,,
2881,,
2878,,
2910,,
2885,,
2886,,
2893,,
2897,,
2882,,
2896,,
2891,,
2908,,
2879,,
2898,,
2901,,
2887,,
2913,,
2884,,
2892,,
2883,,
2888,,
988,,
989,,
758,,
990,,
1252,,
150,,
3519,,
3543,,
76,,
992,,
39,,
994,,
3521,,
3527,,
3528,,
3524,,
3520,,
3525,,
3526,,
3522,,
3529,,
3523,,
431,,
996,,
73,,
998,,
1001,,
3516,,
3500,,
2890,,
1002,,
3544,,
1003,<a target=' new' href='top-thesaurus.org/annotationInfo?viz=1&&trait=Litter potassium content per litter dry mass,
69,,
74,,
1006,,
1199,,
75,,
768,,
3861,,
3862,,
399,,
397,,
396,,
395,,
763,,
767,,
3424,,
766,,
764,,
3419,,
3420,,
3423,,
3425,,
3426,,
3415,,
3411,,
3414,,
3422,,
3418,,
3417,,
3416,,
3421,,
3413,,
3412,,
3427,,
3151,,
1447,,
1436,,
3370,,
7,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1422,,
3150,,
1430,,
1431,,
1433,,
1432,,
1435,,
1429,,
1434,,
1030,,
2949,,
2950,,
2948,,
3366,,
3364,,
3365,,
3367,,
4075,,
186,,
185,,
487,,
537,,
479,,
3007,,
3126,,
3380,,
269,,
270,,
486,,
488,,
720,,
721,,
533,,
271,,
784,,
3687,,
666,,
22,,
3807,,
3806,,
3878,,
1012,,
1013,,
3394,,
974,,
135,,
134,,
3128,,
534,,
3802,,
3803,,
3804,,
49,,
3379,,
3805,,
3362,,
3978,,
3694,,
3693,,
3688,,
3692,,
3691,,
3690,,
3689,,
3393,,
3973,,
3856,,
3485,,
3755,,
3727,,
3459,,
5,,
3435,,
3444,,
2555,,
2773,,
449,,
3447,,
137,,
452,,
1020,,
458,,
3449,,
465,,
3551,,
1770,,
1534,,
20,,
3440,,
2814,,
3561,,
3972,,
2043,,
3268,,
2282,,
2261,,
2299,,
2538,,
3448,,
473,,
466,,
3552,,
2026,,
2021,,
2005,,
469,,
3507,,
3487,,
3962,,
3952,,
3953,,
3051,,
3441,,
129,,
3960,,
3040,,
3406,,
502,,
671,,
3036,,
3968,,
3125,,
3967,,
1032,,
3457,,
3460,,
1031,,
3451,,
700,,
119,,
117,,
776,,
3486,,
130,,
1046,,
1033,,
3550,,
1048,,
3549,,
3450,,
363,,
3933,,
3405,,
3461,,
1509,,
1504,,
470,,
669,,
3032,,
1307,,
3408,,
132,,
131,,
3724,,
3723,,
403,,
408,,
1034,,
3439,,
3437,,
3438,,
3445,,
128,,
136,,
3961,,
3548,,
529,,
670,,
3830,,
3012,,
3493,,
3495,,
3969,,
3971,,
3059,,
3970,,
3446,,
3431,,
3433,,
3432,,
3443,,
3428,,
3430,,
3429,,
3442,,
800,,
478,,
3512,,
435,,
1481,,
3027,,
1021,,
341,,
1023,,
3513,,
1024,,
3514,,
346,,
345,,
1025,,
1026,,
1027,,
3976,,
3616,,
916,,
3407,,
197,,
42,,
3401,,
3943,,
3400,,
587,,
77,,
3842,,
3797,,
1028,,
3107,,
1015,,
364,,
567,,
3361,,
3010,,
3106,,
1016,,
3942,,
3119,,
3118,,
3503,,
3039,,
2993,,
604,,
752,,
3496,,
59,,
3945,,
3699,,
599,,
1029,,
814,,
813,,
770,,
3685,,
3070,,
8,,
511,,
3509,,
3505,,
3515,,
437,,
3506,,
361,,
3908,,
3508,,
3697,,
201,,
155,,
1035,,
1036,,
679,,
3695,,
3028,,
609,,
1100,,
621,,
335,,
3841,,
439,,
819,,
681,,
3949,,
3827,,
3768,,
3825,,
3879,,
3826,,
3880,,
3371,,
3615,,
3090,,
1017,,
1251,,
344,,
1008,,
356,,
329,,
149,,
334,,
328,,
1206,,
358,,
357,,
613,,
1207,,
320,,
2952,,
3025,,
3504,,
38,Plant woodiness,
4021,,
4020,,
4024,,
4017,,
4018,,
4025,,
4022,,
4028,,
4019,,
4023,,
1042,,
1043,,
1044,,
3872,,
3919,,
4064,,
4063,,
4062,,
4061,,
4060,,
4059,,
4058,,
4057,,
684,,
688,,
4056,,
4055,,
4054,,
685,,
4052,,
4051,,
4053,,
4066,,
4067,,
4068,,
4069,,
4070,,
4071,,
4072,,
4073,,
4074,,
3604,,
1047,,
247,,
1049,,
1465,,
1050,,
3570,,
1051,,
1321,,
1324,,
1318,,
1295,,
1296,,
3136,,
3480,,
1053,,
1054,,
1336,,
1498,,
84,,
90,,
1055,,
3517,,
3533,,
1310,,
91,,
1056,,
1287,,
1074,,
3152,,
3131,,
3132,,
1517,,
1280,,
379,,
3560,,
1519,,
3148,,
3149,,
1367,,
83,,
1486,,
1487,,
798,,
785,,
116,,
3029,,
1494,,
1482,,
1417,,
1418,,
3033,,
3035,,
3034,,
3158,,
245,,
